MNO,MAKER
A40,Lexus
B18,Maybach
B20,Cadillac
D36,Bentley
D48,Plymouth
E28,Infiniti
F65,Citroën
F85,GMC
H41,Isuzu
H53,Mercury
H78,Daewoo
H98,Jaguar
I23,Toyota
I51,Ram
J95,Subaru
K84,Ferrari
K85,Land Rover
L11,Kia
L3,Saab
L79,Spyker
M12,Oldsmobile
M16,Maserati
M62,Austin
M90,Rolls-Royce
N16,Dodge
N6,Acura
O22,Studebaker
O51,Shelby
O75,Foose
O94,Suzuki
O98,BMW
Q26,Lotus
Q44,Chrysler
Q65,Porsche
Q71,Rambler
Q76,Hyundai
R31,Lincoln
R63,Buick
R66,Nissan
S37,Saturn
S45,Ford
S78,Geo
T21,Chevrolet
T35,Aston Martin
T53,Pontiac
T56,Volvo
U45,Honda
V22,Mitsubishi
V6,Audi
W57,Alfa Romeo
X21,Scion
X28,Jeep
Y44,Mazda
Y70,Volkswagen
Z11,Morgan
Z22,Hummer
Z23,Lamborghini
Z8,Mercedes-Benz
